nome,imagem,imagem2,codigo,medidas,categoria
Coluna Torre 1 Furo | Polida,assets/produtos/coluna-torre-1furo/1furo-polida.png,assets/produtos/coluna-torre-1furo/1furo-polida-segunda.jpg,T201P10,20cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 1 Furo | Polida,,,T301P10,30cm | p/ Vidro de 10mm,
Coluna Torre 1 Furo | Escovada,assets/produtos/coluna-torre-1furo/1furo-escovada.jpg,assets/produtos/coluna-torre-1furo/1furo-escovada-segunda.jpg,T201E10,20cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 1 Furo | Escovada,,,T301E10,30cm | p/ Vidro de 10mm,
Coluna Torre 1 Furo | Preta,assets/produtos/coluna-torre-1furo/1furo-preta.png,assets/produtos/coluna-torre-1furo/1furo-preta-segunda.jpg,T201PR10,20cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 1 Furo | Preta,,,T301PR10,30cm | p/ Vidro de 10mm,
Coluna Torre 1 Furo | Branca,assets/produtos/coluna-torre-1furo/1furo-branca.png,assets/produtos/coluna-torre-1furo/1furo-branca-segunda.jpg,T201BR10,20cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 1 Furo | Branca,,,T301BR10,30cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,assets/produtos/coluna-torre-2furos/2furos-polida.png,assets/produtos/coluna-torre-2furos/2furos-polida-segunda.jpg,T302P10,30cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 2 Furos | Polida,,,T402P10,40cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,,,T402P12,40cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T402P16,40cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Polida,,,T502P10,50cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,,,T502P12,50cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T502P16,50cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Polida,,,T602P10,60cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,,,T602P12,60cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T602P16,60cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Polida,,,T702P10,70cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,,,T702P12,70cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T702P16,70cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Polida,,,T802P10,80cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,,,T802P12,80cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T802P16,80cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Polida,,,T902P10,90cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Polida,,,T902P12,90cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T902P16,90cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Polida,,,T1002P10,100cm | p/ Vidro de 10mm,
